asn,nb_hostnames
395747,1348
21664,420
213120,334
394507,193
394192,139
8075,72
35540,69
62567,63
204915,56
39572,49
215859,48
214455,41
141995,34
395458,32
47422,32
31936,27
327799,25
63293,23
7979,23
19551,22
24600,22
49287,20
37545,19
10753,18
6496,17
328832,17
29169,17
17025,16
50482,16
63240,16
52468,16
45352,16
136373,16
6327,16
37662,16
41722,16
52320,16
62768,16
12956,16
17984,16
9015,16
19782,16
328137,16
61568,16
200039,16
132045,16
20764,16
137409,16
2027,16
19653,16
13786,16
51530,16
196753,16
24482,16
28320,16
64475,16
6762,16
207841,16
270014,16
44684,16
18881,16
35589,16
23520,16
56696,16
48641,16
35360,16
8708,16
7589,16
17668,16
132337,16
15958,16
2614,16
14016,16
15605,16
28398,16
35600,16
19422,16
38726,16
1031,16
3844,16
29049,16
4134,16
35598,16
1916,16
264409,16
52025,16
50628,16
14537,16
8195,16
205920,16
6057,16
263945,16
15802,16
12322,16
133795,14
22612,13
14853,13
37963,11
38369,10
36420,10
2611,10
14907,10
49981,9
54641,9
8839,8
2635,8
29222,8
2057,8
44907,7
50474,7
12178,6
40824,6
327798,6
60781,6
26496,6
8560,5
30148,5
139341,5
58061,5
202492,5
150078,5
27589,5
204800,5
54994,4
55293,4
50989,4
48254,4
25117,4
23352,4
46606,4
42848,4
5761,4
9009,4
14441,4
199524,4
215322,3
53589,3
8228,3
60068,3
23816,3
24572,3
19853,3
12491,3
15317,3
16326,3
39072,3
210403,3
15699,3
8304,3
6185,3
44009,3
3457,3
7941,3
200019,3
28836,2
14315,2
39241,2
7765,2
14472,2
32338,2
49714,2
44534,2
212815,2
139057,2
46475,2
24961,2
54913,2
31586,2
200325,2
200107,2
210770,2
13442,2
3311,2
11807,2
137331,2
42186,2
48744,2
34993,2
61098,2
28753,2
26666,2
328252,2
3387,2
56898,2
328751,2
34863,2
30961,2
14466,2
2665,2
36786,2
24611,2
205435,2
31892,2
50980,2
51888,2
202425,2
399358,1
199729,1
30886,1
10480,1
206264,1
199218,1
6724,1
20264,1
43311,1
202053,1
13571,1
9605,1
8960,1
22720,1
36459,1
4258,1
21409,1
400797,1
60550,1
56798,1
197696,1
59524,1
29264,1
214390,1
42422,1
59939,1
200449,1
37153,1
53667,1
327905,1
18905,1
9752,1
62856,1
210275,1
50446,1
37010,1
44477,1
198993,1
4725,1
26277,1
61144,1
9732,1
43142,1
51540,1
204846,1
2514,1
393689,1
151373,1
45090,1
44160,1
401479,1
201936,1
31264,1
140688,1
57633,1
15456,1
9688,1
40539,1
57344,1
29110,1
207326,1
47846,1
34655,1
35425,1
60362,1
39134,1
57687,1
213232,1
11878,1
152194,1
33157,1
55569,1
22653,1
14555,1
45420,1
329278,1
51970,1
39444,1
46864,1
15966,1
139144,1
40699,1
36914,1
35387,1
34222,1
136052,1
55688,1
59692,1
55470,1
37610,1
41410,1
24971,1
16839,1
48130,1
35744,1
45666,1
48813,1
22953,1
3920,1
55960,1
41653,1
213394,1
53824,1
58487,1
142592,1
15318,1
41690,1
15826,1
37429,1
203639,1
205762,1
327755,1
8705,1
152880,1
14340,1
11281,1
51433,1
393874,1
64437,1
13830,1
12678,1
42400,1
40021,1
208128,1
397273,1
55081,1
